T[C]	rho[kg/cm3]
25	7824.06
30	7822.97
40	7821.05
50	7820.23
60	7820.42
70	7818.79
80	7816.58
90	7814.13
100	7811.54
110	7808.87
120	7806.13
130	7803.34
140	7800.5
150	7797.64
154.18	7796.43
160	7795.53
166.45	7794.35
170	7793.27
180	7790.21
190	7787.12
200	7784.03
210	7780.91
220	7777.77
230	7774.62
240	7771.45
250	7768.26
260	7765.05
270	7761.82
280	7758.57
290	7755.3
300	7752.02
310	7748.71
320	7745.38
330	7742.03
340	7738.66
350	7735.27
360	7731.86
370	7728.42
380	7724.96
390	7721.48
400	7717.97
410	7714.43
420	7710.87
430	7707.29
440	7703.67
450	7700.04
460	7696.37
470	7692.68
480	7688.97
490	7685.23
500	7681.47
510	7677.69
520	7673.88
530	7670.06
540	7666.22
550	7662.37
560	7658.5
570	7654.61
580	7650.71
590	7646.79
593.68	7645.34
600	7642.94
610	7639.12
620	7635.29
630	7631.44
640	7627.59
650	7623.71
660	7619.83
670	7615.93
680	7612.02
690	7608.1
700	7604.16
710	7600.21
720	7596.25
721.18	7595.79
730	7610.99
734.14	7622.2
740	7627.67
750	7638.08
751.44	7639.69
760	7643.95
770	7649.84
771.52	7650.84
780	7646.28
790	7640.92
800	7635.56
810	7630.2
820	7624.85
830	7619.51
840	7614.17
850	7608.84
860	7603.51
870	7598.19
880	7592.87
890	7587.56
900	7582.26
910	7576.96
920	7571.66
930	7566.37
940	7561.09
950	7555.81
960	7550.54
970	7545.27
980	7540.01
990	7534.75
1000	7529.5
