T[C]	Cp[J/(kg.K)]
68	463.23
86	471.02
104	482.88
122	515.43
140	492.02
158	484.13
176	484.13
194	486.07
212	488.79
230	491.86
248	495.14
266	498.55
284	502.06
302	505.66
320	522.28
338	511.11
356	514.98
374	518.91
392	522.91
410	526.99
428	531.14
446	535.39
464	539.73
482	544.18
500	548.74
518	553.41
536	558.21
554	563.15
572	568.22
590	573.45
608	578.84
626	584.39
644	590.12
662	596.03
680	602.14
698	608.46
716	615
734	621.76
752	628.76
770	636.01
788	643.51
806	651.27
824	659.34
842	667.63
860	676.18
878	684.99
896	694.05
914	703.35
932	712.88
950	722.63
968	732.6
986	742.79
1004	753.22
